car,orientation,"x,y",length
A,H,"8,12",3
B,H,"11,12",2
C,V,"1,11",2
D,V,"7,11",2
E,H,"1,10",3
F,H,"4,10",2
G,V,"6,10",2
H,H,"8,10",2
I,V,"11,10",2
J,V,"12,10",2
K,H,"8,9",2
L,H,"10,9",2
M,H,"3,8",3
N,V,"6,8",2
O,V,"7,8",3
P,H,"8,8",3
Q,V,"1,7",3
R,V,"2,7",3
S,H,"1,6",3
T,V,"5,6",2
U,V,"6,6",2
V,H,"11,12",2
W,H,"1,5",3
Y,V,"4,5",2
Z,H,"5,5",2
AA,V,"8,5",2
AB,V,"10,5",2
AC,H,"11,5",2
AD,H,"1,4",2
AE,H,"4,4",3
AF,V,"7,4",3
AG,H,"8,4",3
AH,V,"3,3",2
AI,H,"4,3",3
AJ,H,"9,3",2
AK,V,"12,3",2
AL,H,"2,1",2
AM,H,"4,1",3
AN,V,"7,1",3
AP,H,"8,1",2
AO,V,"10,1",2
AP,V,"11,1",3
AQ,V,"12,1",2
X,H,"3,7",2